text,label
"Các nhà nghiên cứu từ một tổ chức khoa học bí ẩn tuyên bố rằng uống nước chanh mỗi sáng có thể giúp ngăn ngừa ung thư. Tuy nhiên, các chuyên gia y tế cảnh báo rằng không có bằng chứng khoa học nào chứng minh điều này.",sai
Một nghiên cứu mới cho thấy việc duy trì chế độ ăn uống lành mạnh và tập thể dục đều đặn có thể giúp ngăn ngừa nhiều bệnh mãn tính. Các nhà khoa học khuyến nghị mọi người nên chú ý hơn đến lối sống lành mạnh để tăng cường sức khỏe.,đúng
Một người phụ nữ đã trúng số độc đắc sau khi mơ thấy một con mèo đen chạy ngang qua nhà. Cô khẳng định đây không phải là sự trùng hợp và cho rằng giấc mơ này mang lại điềm báo may mắn.,sai
NASA xác nhận đã phát hiện một hành tinh ngoài hệ Mặt Trời có điều kiện tương tự Trái Đất. Các nhà khoa học hiện đang tiến hành nghiên cứu sâu hơn để đánh giá khả năng tồn tại sự sống trên hành tinh này.,đúng
Một người phụ nữ đã trúng số độc đắc sau khi mơ thấy một con mèo đen chạy ngang qua nhà. Cô khẳng định đây không phải là sự trùng hợp và cho rằng giấc mơ này mang lại điềm báo may mắn.,sai
NASA xác nhận đã phát hiện một hành tinh ngoài hệ Mặt Trời có điều kiện tương tự Trái Đất. Các nhà khoa học hiện đang tiến hành nghiên cứu sâu hơn để đánh giá khả năng tồn tại sự sống trên hành tinh này.,đúng
Một cậu bé 5 tuổi đã tự mình lái xe hàng chục km đến cửa hàng mua kẹo mà không bị cảnh sát phát hiện. Câu chuyện này đang gây xôn xao cộng đồng mạng và đặt ra câu hỏi về an toàn giao thông.,sai
Chính phủ vừa công bố gói hỗ trợ tài chính mới trị giá hàng nghìn tỷ đồng nhằm giúp người dân chịu ảnh hưởng bởi đại dịch. Các chuyên gia kinh tế cho rằng đây là một bước đi quan trọng để phục hồi nền kinh tế trong thời gian tới.,đúng
Một người phụ nữ đã trúng số độc đắc sau khi mơ thấy một con mèo đen chạy ngang qua nhà. Cô khẳng định đây không phải là sự trùng hợp và cho rằng giấc mơ này mang lại điềm báo may mắn.,sai
Một nghiên cứu mới cho thấy việc duy trì chế độ ăn uống lành mạnh và tập thể dục đều đặn có thể giúp ngăn ngừa nhiều bệnh mãn tính. Các nhà khoa học khuyến nghị mọi người nên chú ý hơn đến lối sống lành mạnh để tăng cường sức khỏe.,đúng
